cid	title
51003642	N-[2-(Tert-butylamino)-2-oxo-1-pyridin-3-ylethyl]-N-(4-tert-butylphenyl)-1-methylimidazole-4-carboxamide;2,2,2-trifluoroacetic acid
51003644	N-[(1S)-2-(Tert-butylamino)-2-oxo-1-pyridin-3-ylethyl]-N-(4-tert-butylphenyl)-1H-imidazole-5-carboxamide;2,2,2-trifluoroacetic acid
51003649	N-(4-Benzylphenyl)-N-[2-(tert-butylamino)-2-oxo-1-pyridin-3-ylethyl]furan-2-carboxamide;2,2,2-trifluoroacetic acid
53308707	N-[2-(Tert-butylamino)-2-oxo-1-pyridin-3-ylethyl]-N-(4-iodophenyl)furan-2-carboxamide;2,2,2-trifluoroacetic acid
53308709	N-[2-(Tert-butylamino)-2-oxo-1-pyridin-3-ylethyl]-N-(4-phenylmethoxyphenyl)furan-2-carboxamide;2,2,2-trifluoroacetic acid
53308715	N-[2-(Tert-butylamino)-2-oxo-1-pyridin-3-ylethyl]-N-(4-pyridin-3-ylphenyl)furan-2-carboxamide;2,2,2-trifluoroacetic acid
53308717	N-[2-(Tert-butylamino)-2-oxo-1-pyridin-3-ylethyl]-N-[4-(2,3-difluorophenyl)phenyl]furan-2-carboxamide;2,2,2-trifluoroacetic acid
53308719	N-[2-(Tert-butylamino)-2-oxo-1-pyridin-3-ylethyl]-N-(4-pyrimidin-5-ylphenyl)furan-2-carboxamide;2,2,2-trifluoroacetic acid
53308723	Tert-butyl 2-[4-[[2-(tert-butylamino)-2-oxo-1-pyridin-3-ylethyl]-(furan-2-carbonyl)amino]phenyl]pyrrole-1-carboxylate;2,2,2-trifluoroacetic acid
53308727	N-[2-(Tert-butylamino)-2-oxo-1-pyridin-3-ylethyl]-N-[4-(3-methoxyphenoxy)phenyl]furan-2-carboxamide;2,2,2-trifluoroacetic acid
53308729	N-[2-(Tert-butylamino)-2-oxo-1-pyridin-3-ylethyl]-N-[4-(3,5-dimethyl-1,2-oxazol-4-yl)phenyl]furan-2-carboxamide;2,2,2-trifluoroacetic acid
53308733	N-[2-(Tert-butylamino)-2-oxo-1-pyridin-3-ylethyl]-N-(4-phenylphenyl)furan-2-carboxamide;2,2,2-trifluoroacetic acid
69361347	N-[4-[[2-(Benzotriazol-1-yl)acetyl]-(thiophen-3-ylmethyl)amino]phenyl]cyclopropanecarboxamide;2,2,2-trifluoroacetic acid
135472652	5-Bromo-N-[(Z)-(2-hydroxynaphthalen-1-yl)methylideneamino]pyridine-3-carboxamide
