PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Repeated sucessfully (out of two attempts)
RESULT_TYPE,,,,,,,STRING
RESULT_UNIT,,,,,,,NONE
161,22415577,2920940,Active,90,,,2
162,22415706,731219,Active,90,,,2
163,22415856,799959,Active,90,,,2
164,22415889,1581363,Active,90,,,2
165,22415917,799236,Active,90,,,2
166,22417014,2893281,Active,90,,,2
167,24779514,4638552,Active,90,,,2
168,24780718,135460420,Active,90,,,2
169,24783255,9590296,Active,90,,,2
170,24787200,135460566,Active,90,,,2
171,24810311,16193055,Active,90,,,2
172,24818954,9637968,Active,90,,,2
173,24819776,1485477,Active,90,,,2
174,24819958,16195148,Active,90,,,2
175,24823359,9562940,Active,90,,,2
176,24823612,135439775,Active,90,,,2
177,24826268,2531772,Active,90,,,2
178,24826276,2115242,Active,90,,,2
179,24831419,2526884,Active,90,,,2
180,24836813,9660914,Active,90,,,2
181,24841366,3570131,Active,90,,,2
182,47200957,5349826,Active,90,,,2
183,47201881,881215,Active,90,,,2
184,49641071,5727207,Active,90,,,2
185,49642591,2920402,Active,90,,,2
186,49643008,2876731,Active,90,,,2
187,49643547,3129243,Active,90,,,2
188,49643893,135443118,Active,90,,,2
189,49681118,3161163,Active,90,,,2
190,49719917,20927887,Active,90,,,2
191,49821978,6459993,Active,90,,,2
192,49825997,24819115,Active,90,,,2
193,51090798,7207435,Active,90,,,2
194,56319983,24981101,Active,90,,,2
195,57257149,2557794,Active,90,,,2
196,85271003,2363542,Active,90,,,2
197,87334281,16060039,Active,90,,,2
198,87336118,44601537,Active,90,,,2
