PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Repeated sucessfully (out of two attempts)
RESULT_TYPE,,,,,,,STRING
RESULT_UNIT,,,,,,,NONE
662,56323063,24982322,Inactive,10,,,
663,56323250,24982405,Inactive,10,,,
664,56323594,24982536,Inactive,10,,,
665,56324849,24983143,Inactive,10,,,
666,56462796,12748,Inactive,10,,,
667,56462820,25102384,Inactive,10,,,
668,56462822,25102386,Inactive,10,,,
669,56463479,25102676,Inactive,10,,,
670,57255517,2480700,Inactive,10,,,
671,57258602,25162609,Inactive,10,,,
672,57259523,16305086,Inactive,10,,,
673,57260036,9441134,Inactive,10,,,
674,57260859,2090567,Inactive,10,,,
675,57261326,9238203,Inactive,10,,,
676,57262739,4964919,Inactive,10,,,
677,57263347,7998858,Inactive,10,,,
678,57263675,16280987,Inactive,10,,,
679,57264131,4785644,Inactive,10,,,
680,57264245,6218193,Inactive,10,,,
681,57264528,16279496,Inactive,10,,,
682,57265370,2114546,Inactive,10,,,
683,57265700,10129958,Inactive,10,,,
684,57266062,7948233,Inactive,10,,,
685,57266604,16323708,Inactive,10,,,
686,57267930,16282544,Inactive,10,,,
687,57268423,4850151,Inactive,10,,,
688,74373669,42601146,Inactive,10,,,
689,81066658,42628424,Inactive,10,,,
690,85146054,3235398,Inactive,10,,,
691,85146077,44142050,Inactive,10,,,
692,85146084,44142057,Inactive,10,,,
693,85146088,44142061,Inactive,10,,,
694,85146092,44142065,Inactive,10,,,
695,85146362,44142246,Inactive,10,,,
696,85146483,44142344,Inactive,10,,,
697,85146722,44142579,Inactive,10,,,
698,85146836,44142692,Inactive,10,,,
699,85146954,44142790,Inactive,10,,,
700,85146983,44142819,Inactive,10,,,
701,85146988,44142824,Inactive,10,,,
702,85148516,44143858,Inactive,10,,,
703,85149110,101612,Inactive,10,,,
704,85199043,16277376,Inactive,10,,,
705,85200552,44201674,Inactive,10,,,
706,85200939,44202059,Inactive,10,,,
707,85201355,44202439,Inactive,10,,,
708,85201376,44202460,Inactive,10,,,
709,85201433,44202517,Inactive,10,,,
710,85201546,44202630,Inactive,10,,,
711,85201594,44202678,Inactive,10,,,
712,85201716,44202798,Inactive,10,,,
713,85201871,44202950,Inactive,10,,,
714,85267980,2386197,Inactive,10,,,
715,85268195,4333683,Inactive,10,,,
716,85268384,4148772,Inactive,10,,,
717,85268447,3665533,Inactive,10,,,
718,85268713,2350919,Inactive,10,,,
719,85268779,2572507,Inactive,10,,,
720,85269266,9360064,Inactive,10,,,
721,85269293,2634355,Inactive,10,,,
722,85269638,3957854,Inactive,10,,,
723,85270241,4535196,Inactive,10,,,
724,85270340,9166825,Inactive,10,,,
725,85270664,2645846,Inactive,10,,,
726,85271170,2356160,Inactive,10,,,
727,85271492,2429145,Inactive,10,,,
728,85271835,44246513,Inactive,10,,,
729,87334063,16060013,Inactive,10,,,
730,87334149,16060009,Inactive,10,,,
731,87340754,44601724,Inactive,10,,,
732,87341404,23657790,Inactive,10,,,
733,87345581,44601918,Inactive,10,,,
734,87349260,44602121,Inactive,10,,,
735,87349521,44602185,Inactive,10,,,
736,89854501,561070,Inactive,10,,,
737,89856116,44825981,Inactive,10,,,
