PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Repeated sucessfully (out of two attempts)
RESULT_TYPE,,,,,,,STRING
RESULT_UNIT,,,,,,,NONE
156,14729611,3769494,Inactive,10,,,
157,14729628,135473481,Inactive,10,,,
158,14730033,3643885,Inactive,10,,,
159,14730345,2979898,Inactive,10,,,
160,14730783,5737363,Inactive,10,,,
161,14730792,1301648,Inactive,10,,,
162,14731274,1818084,Inactive,10,,,
163,14731351,242889,Inactive,10,,,
164,14731467,1880359,Inactive,10,,,
165,14731531,1243057,Inactive,10,,,
166,14732581,5729425,Inactive,10,,,
167,14732615,805519,Inactive,10,,,
168,14732669,1942357,Inactive,10,,,
169,14732959,3508287,Inactive,10,,,
170,14733036,9550364,Inactive,10,,,
171,14733085,6413198,Inactive,10,,,
172,14734265,799741,Inactive,10,,,
173,14734554,75037,Inactive,10,,,
174,14734858,569946,Inactive,10,,,
175,14734945,962497,Inactive,10,,,
176,14735249,3605123,Inactive,10,,,
177,14735579,5190879,Inactive,10,,,
178,14735674,9550805,Inactive,10,,,
179,14735891,2900918,Inactive,10,,,
180,14736522,797378,Inactive,10,,,
181,14736623,934904,Inactive,10,,,
182,14736940,2293412,Inactive,10,,,
183,14736949,2770557,Inactive,10,,,
184,14737609,9551087,Inactive,10,,,
185,14737614,9551089,Inactive,10,,,
186,14737784,5058847,Inactive,10,,,
187,14737788,9551152,Inactive,10,,,
188,14738073,3995045,Inactive,10,,,
189,14738099,4257356,Inactive,10,,,
190,14738340,4324228,Inactive,10,,,
191,14738734,2923627,Inactive,10,,,
192,14739256,135453527,Inactive,10,,,
193,14739267,1894066,Inactive,10,,,
194,14739350,1304100,Inactive,10,,,
195,14739499,135421536,Inactive,10,,,
196,14739532,1254960,Inactive,10,,,
197,14740644,5345994,Inactive,10,,,
198,14740693,748195,Inactive,10,,,
199,14740744,1859733,Inactive,10,,,
200,14741069,1851779,Inactive,10,,,
201,14741594,751460,Inactive,10,,,
202,14742485,1878742,Inactive,10,,,
203,14742504,135444858,Inactive,10,,,
204,14742726,5142573,Inactive,10,,,
205,14743738,3914216,Inactive,10,,,
206,14743889,2334502,Inactive,10,,,
207,14744711,3958112,Inactive,10,,,
208,14745024,4000895,Inactive,10,,,
209,14746281,135446674,Inactive,10,,,
210,14746611,1534925,Inactive,10,,,
211,14746622,9552020,Inactive,10,,,
212,14746689,2417089,Inactive,10,,,
213,14746705,3361499,Inactive,10,,,
214,14746748,4347626,Inactive,10,,,
215,14746749,3606824,Inactive,10,,,
216,14746929,6216004,Inactive,10,,,
217,14747078,4154158,Inactive,10,,,
218,14747119,135512438,Inactive,10,,,
219,16952515,11834398,Inactive,10,,,
220,16952550,3873263,Inactive,10,,,
221,16952759,4541901,Inactive,10,,,
222,16952778,2133292,Inactive,10,,,
223,16952933,1089132,Inactive,10,,,
224,16953107,798022,Inactive,10,,,
225,16953263,4088610,Inactive,10,,,
226,16953673,4240685,Inactive,10,,,
227,16953734,2508299,Inactive,10,,,
228,16953800,2525984,Inactive,10,,,
229,17385668,2469982,Inactive,10,,,
230,17385711,5689963,Inactive,10,,,
231,17386566,1236180,Inactive,10,,,
