PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,SMILES
99350510,46897844,Active,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=CO3
99350512,46897845,Active,CC(=O)NC1=CC=C(C=C1)N(C(C2=CC(=CC=C2)F)C(=O)NC(C)(C)C)C(=O)CN3C4=CC=CC=C4N=N3
99350515,46897848,Active,CC(=O)NC1=CC=C(C=C1)N(C(C2=CC(=CC=C2)F)C(=O)NCC3=CC=CC=C3)C(=O)CN4C5=CC=CC=C5N=N4
104178048,49849272,Active,CC(C)C(=O)NC1=CC=C(C=C1)N(C(C2=CC(=CC=C2)F)C(=O)NCC3=CC=CC=C3)C(=O)CN4C5=CC=CC=C5N=N4
104178049,49849273,Active,C1CC1C(=O)NC2=CC=C(C=C2)N(C(C3=CC(=CC=C3)F)C(=O)NCC4=CC=CC=C4)C(=O)CN5C6=CC=CC=C6N=N5
104178050,49849274,Active,C1CC(C1)C(=O)NC2=CC=C(C=C2)N(C(C3=CC(=CC=C3)F)C(=O)NCC4=CC=CC=C4)C(=O)CN5C6=CC=CC=C6N=N5
117686897,51003635,Active,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CN=NC=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=CO3
117686898,51003636,Active,CC(C)(C)C1=CC=C(C=C1)N(C(C2=NC=CN=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=CO3
117686901,51003640,Active,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CC=NC=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=CO3.C(=O)(C(F)(F)F)O
117686902,51003642,Active,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)C3=CN(C=N3)C.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O
117686903,51003644,Active,CC(C)(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)C3=CN=CN3.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O
117686907,51003649,Active,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)CC3=CC=CC=C3)C(=O)C4=CC=CO4.C(=O)(C(F)(F)F)O
124768019,53308707,Active,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)I)C(=O)C3=CC=CO3.C(=O)(C(F)(F)F)O
124768020,53308709,Active,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)OCC3=CC=CC=C3)C(=O)C4=CC=CO4.C(=O)(C(F)(F)F)O
124768023,53308715,Active,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)C3=CN=CC=C3)C(=O)C4=CC=CO4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O
124768024,53308717,Active,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)C3=CN=CC=C3)C(=O)C4=CC=CO4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O
124768025,53308719,Active,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)C3=CN=CN=C3)C(=O)C4=CC=CO4.C(=O)(C(F)(F)F)O
124768027,53308723,Active,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)C3=CC=CN3C(=O)OC(C)(C)C)C(=O)C4=CC=CO4.C(=O)(C(F)(F)F)O
124768029,53308727,Active,CC(C)(C)NC(=O)C(C1=CN=CC=C1)N(C2=CC=C(C=C2)OC3=CC=CC(=C3)OC)C(=O)C4=CC=CO4.C(=O)(C(F)(F)F)O
124768030,53308729,Active,CC1=C(C(=NO1)C)C2=CC=C(C=C2)N(C(C3=CN=CC=C3)C(=O)NC(C)(C)C)C(=O)C4=CC=CO4.C(=O)(C(F)(F)F)O
124768032,53308733,Active,CC1=C(C(=NO1)C)C2=CC=C(C=C2)N(C(C3=CN=CC=C3)C(=O)NC(C)(C)C)C(=O)C4=CC=CO4.C(=O)(C(F)(F)F)O
99289112,69361347,Active,C1CC1C(=O)NC2=CC=C(C=C2)N(CC3=CSC=C3)C(=O)CN4C5=CC=CC=C5N=N4.C(=O)(C(F)(F)F)O
47202119,135472652,Active,C1=CC=C2C(=C1)C=CC(=C2C=NNC(=O)C3=CC(=CN=C3)Br)O
