smile,training_smile,hit,similarity
ClC=C1Nc2sc3CCCCc3c2C(=O)N1,C1CCC2=C(C1)C3=C(S2)NC(NC3=O)C4=CC=NC=C4,0,0.7834441980783444
C(N1CCN(CC1)c1nc2ccccc2s1)c1ccc2OCOc2c1,COC1=CC=C(C=C1)CN2CCN(CC2)C3=NC4=CC=CC=C4S3,0,0.8580024067388689
Nc1ccccc1S(N)(=O)=O,C1=CC=C(C=C1)S(=O)(=O)[NH-].[Na+],0,0.5708333333333333
NCCOB(c1ccccc1)c1ccccc1,[B-](C1=CC=CC=C1)(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.CCN(CC)C(=O)[N+]1=CC=C(C=C1)OC,0,0.2254335260115607
C1CN=C(N1)c1cc2ccccc2o1,CCCCNCC1=CC2=CC=CC=C2O1.Cl,0,0.5782537067545305
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(NC3CCCC3)nc(Cl)nc12,C1CCC(C1)NC2=C3C(=NC=N2)N(C=N3)[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O,0,0.944006309148265
Nc1nc(Cl)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,C1=NC2=C(N=C(N=C2N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)Cl)N,0,1.0
Clc1cnccn1,C1=CC=C(C=C1)C2=NC=CN=C2Cl,0,0.19461077844311378
CN1CCN(CC1)C1=Cc2ccccc2Oc2ccc(Cl)cc12,CN1CCN(CC1)C2=CC3=CC=CC=C3SC4=CC(=C(C=C24)Cl)F.C(=C\C(=O)O)\C(=O)O,0,0.5119363395225465
N#Cc1ncccn1,C1=C(N=C(N=C1N)CS)N,0,0.27403846153846156
CN([N+][O-])C(=O)NC(C=O)C(O)C(O)C(O)CO,COC(=O)C1CC(CN1C(=O)NC2CCCCC2)O,0,0.40522875816993464
OC[C@H]1O[C@H](O)C[C@@H](O)[C@@H]1O,COC1C(C(C(C(O1)CO)O)O)O,0,0.7619047619047619
CCOc1ccccc1C(O)=O,C1=CC=C(C=C1)OCCOC2=CC=CC=C2C(=O)O,0,0.9017857142857143
CCCC(O)C(CC)CO,C1CC[C@@]2(C(C1)CC3CCCC2[C@@H]3O)O,0,0.46195652173913043
OCC1OC(O)C(F)C(O)C1O,COC1C(C(C(C(O1)CO)O)O)O,0,0.5481171548117155
